2021-07-12 15:30:24.320 interchange:491 [INFO]  [MAIN] Adding manager: b'a8545c954685' to ready queue
2021-07-12 15:30:24.322 interchange:493 [INFO]  [MAIN] Registration info for manager b'a8545c954685': {'parsl_v': '1.1.0+desc-2021.07.09a', 'python_v': '3.9.6', 'worker_count': 4, 'uid': 'a8545c954685', 'block_id': '0', 'prefetch_capacity': 0, 'max_capacity': 4, 'os': 'Darwin', 'hostname': 'Veds-MacBook-Pro.local', 'dir': '/Users/vedkommalapati/Documents/GitHub/Parsl', 'cpu_count': 2, 'total_memory': 8589934592}
2021-07-12 15:30:24.323 interchange:334 [INFO]  Sending message {'last_heartbeat': 1626121824.320493, 'idle_since': 1626121824.3204942, 'free_capacity': 0, 'block_id': '0', 'max_capacity': 4, 'worker_count': 4, 'active': True, 'tasks': [], 'parsl_v': '1.1.0+desc-2021.07.09a', 'python_v': '3.9.6', 'uid': 'a8545c954685', 'prefetch_capacity': 0, 'os': 'Darwin', 'hostname': 'Veds-MacBook-Pro.local', 'dir': '/Users/vedkommalapati/Documents/GitHub/Parsl', 'cpu_count': 2, 'total_memory': 8589934592} to hub
2021-07-12 15:30:24.328 interchange:511 [INFO]  [MAIN] Manager b'a8545c954685' has compatible Parsl version 1.1.0+desc-2021.07.09a
2021-07-12 15:30:24.330 interchange:512 [INFO]  [MAIN] Manager b'a8545c954685' has compatible Python version 3.9
2021-07-12 15:30:24.331 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.332 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.333 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.334 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.335 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.336 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.337 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.338 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.339 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.342 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.343 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.347 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.349 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.350 interchange:526 [DEBUG]  [MAIN] Manager b'a8545c954685' requested 4 tasks
2021-07-12 15:30:24.351 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.352 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.353 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.354 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.356 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.358 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.359 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.360 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.361 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.363 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.364 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.367 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.368 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.369 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.370 interchange:577 [DEBUG]  [MAIN] entering results_incoming section
2021-07-12 15:30:24.371 interchange:582 [DEBUG]  [MAIN] Got 4 result items in batch
2021-07-12 15:30:24.372 interchange:616 [DEBUG]  [MAIN] Current tasks: [1, 2]
2021-07-12 15:30:24.374 interchange:619 [DEBUG]  [MAIN] leaving results_incoming section
2021-07-12 15:30:24.375 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.396 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.397 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.398 interchange:526 [DEBUG]  [MAIN] Manager b'a8545c954685' requested 4 tasks
2021-07-12 15:30:24.399 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.400 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.401 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.402 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.468 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.469 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.470 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.471 interchange:577 [DEBUG]  [MAIN] entering results_incoming section
2021-07-12 15:30:24.471 interchange:582 [DEBUG]  [MAIN] Got 2 result items in batch
2021-07-12 15:30:24.472 interchange:616 [DEBUG]  [MAIN] Current tasks: []
2021-07-12 15:30:24.473 interchange:619 [DEBUG]  [MAIN] leaving results_incoming section
2021-07-12 15:30:24.474 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.482 interchange:319 [DEBUG]  [TASK_PULL_THREAD] Fetched task:3
2021-07-12 15:30:24.520 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.520 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.521 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.522 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.522 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.523 interchange:562 [DEBUG]  [MAIN] Sent tasks: [3] to manager b'4b92697a4c51'
2021-07-12 15:30:24.524 interchange:564 [DEBUG]  [MAIN] Manager b'4b92697a4c51' has free_capacity 3
2021-07-12 15:30:24.526 interchange:572 [DEBUG]  [MAIN] leaving _ready_manager_queue section, with 2 managers still interesting
2021-07-12 15:30:24.527 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.528 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.529 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.530 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.531 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.533 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.534 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.535 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.535 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.536 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.537 interchange:526 [DEBUG]  [MAIN] Manager b'4b92697a4c51' requested 4 tasks
2021-07-12 15:30:24.537 interchange:529 [DEBUG]  [MAIN] leaving task_outgoing section
2021-07-12 15:30:24.538 interchange:533 [DEBUG]  Managers count (interesting/total): 2/2
2021-07-12 15:30:24.539 interchange:574 [DEBUG]  [MAIN] either no interesting managers or no tasks, so skipping manager pass
2021-07-12 15:30:24.541 interchange:459 [DEBUG]  BENC: starting poll
2021-07-12 15:30:24.602 interchange:461 [DEBUG]  BENC: ending poll
2021-07-12 15:30:24.603 interchange:465 [DEBUG]  [MAIN] starting task_outgoing section
2021-07-12 15:30:24.604 interchange:526 [DEBUG]  [MAIN] Manager b'a8545c954685' requested 4 tasks
